publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-30T01:52:22Z,@normancancer334,"Demi keberlangsungan pemerintahan yg berwibawa dimata Internasional,  sebaiknya gibran mundur secepatnya.",0
2024-10-30T01:51:04Z,@pakwoluchanell3972,"iya betul suruh mundur ajah gibran...,<br>memang aku coblos presiden prabowo, tapi sebetulnya sangat tidak setuju kalau pasanganya gibran.<br>Dari tampangnya saja klemar-klemer.<br>Bener² malu... punya wakil presiden kayak gibran",0
2024-10-30T01:41:05Z,@DriverTop-j5s,Tokoh2 yang atit ati karena tidak dipanggil ke istana,0
2024-10-30T01:41:00Z,@aldyutea,Hati ust. Aa gym Raja Jawa type manusia pendendam casing setan. Nanti di bui.,0
2024-10-30T01:34:59Z,@boybriantona,Semoga Pak prabowo usut pemilik akun Fufufafa,1
2024-10-30T01:31:40Z,@BariBery-f1u,Mampus md pun munafik.dia tak suka ormas Islam,0
2024-10-30T01:29:25Z,@AlifAdha-l2j,Pruttt a ngga mutu,0
2024-10-30T01:24:12Z,@taufiqrodhy5784,Tarimo kaséh kandho RH. Terus suarakan kasus FUFU FAFA ini. Karena nampaknya terkesan fihaq FUFU FAFA ndak perduli (ignorant).😢,0
2024-10-30T01:22:17Z,@mobillegenchannal4188,"Makin lama2 makin bosen lihat berita ky ginih, kg ada baik nya dimata kalian, gibran ttp semangat kerja trus..",0
2024-10-30T01:16:56Z,@topnews4297,ANEH NEGARA KOK TAKUT SAMA FUFUFAFA..SEDIH NEGARA INI..TANGKAP PENJARAKAN FUFUFAFA,0
2024-10-30T01:16:46Z,@rabiyulawaluddin2076,Makzulkan fufufafa,0
2024-10-30T01:15:59Z,@topnews4297,ORANG ORANG DUNGU YG NASIH BELA FUFUFAFA DAN &quot; MULYONO &quot;,0
2024-10-30T01:15:42Z,@Awie-ty7bj,Itu milik roy suryo 99.9%,0
2024-10-30T01:15:01Z,@topnews4297,Saat INI yg paling di benci itu FUFUFAFA DAN&quot; MULYONO&quot;,0
2024-10-30T01:07:59Z,@anangkurwianto7698,"Ustad kecoa, dakwah yg bener gak usah bicara soal fufufafa,, gg gim udah terlalu sering jilat pantat anis",0
2024-10-30T01:05:27Z,@anangkurwianto7698,"Konten tai, konten konthol",0
2024-10-30T00:58:34Z,@yefry6923,Kok pada sewot yah...Prabowo aja santai2 aja....mereka berusaha untuk adu domba prabowo dan gibran...,0
2024-10-30T00:58:12Z,@drcucuksantosospog,Mustahil.... ngimpiiii....  😂,0
2024-10-30T00:57:51Z,@nursalamh9023,Akun kuku papa untuk menerkam orang orang yang memusuhinya,0
2024-10-30T00:55:10Z,@muhammadrizal-tm1yg,"SUDAH tau dan Paham , selanjutnya Gimana Pak R1 , hal ini agar NKRI lebih Nyaman dan Aman dalam menjalankan tugas2 sebagai R1 .<br>Semoga ALLAH SWT memberikan yang terbaik untuk  Bapak .<br>Aamiin...❤❤❤🤲🤲🤲👍👍👍",0
2024-10-30T00:54:56Z,@InfinityDuo-qi9kv,"Proses hukum fufufafa, akan bubar negara ini kalau dia tidak dimakzulkan",1
